puntaje	puntaje_centrada	resultado_promedio	resultado_mat	resultado_lect	pct_bl	tam_curso	prom_exp_doc	n_doc_ft	cohorte	tratamiento
107	7	-0,048507333	0,095942905	-0,19295757	4,400000095	20,83333397	14,57692337	24,00000001	2008	0
107	7	-0,063695036	0,145072181	-0,272462258	4,699999809	20,80850983	13,84615421	23,50000001	2009	0
107	7	1,159814954	1,263013867	1,056616115	0,660000026	20,77272797	19,17391396	22	2008	0
107	7	-0,292445809	-0,039413263	-0,545478357	5,190000057	20,76922989	15,0714283	26,00000001	2006	0
107	7	-0,577335596	-0,64039465	-0,514276517	15,89999962	20,66666603	14,08695698	21	2006	0
107	7	-0,428080618	-0,804426273	-0,051734956	30,52000046	20,63829803	12,01724148	47,00000001	2005	0
107	7	-0,162748739	-0,047634897	-0,277862576	0,670000017	20,58219147	16,8064518	29,20000002	2008	0
107	7	-0,564216197	-0,548151928	-0,580280409	14,18999958	20,5	12,95833302	22	2005	0
107	7	-0,578762054	-0,466537172	-0,690986937	5,769999981	20,4285717	13,66666698	28,00000001	2005	0
107	7	0,955018103	1,235942633	0,674093559	1,429999948	20,375	18,12000084	24	2007	0
107	7	-0,388651222	-0,583444795	-0,193857623	0,579999983	20,3235302	10,72222233	34	2008	0
107	7	-0,295830131	-0,143687644	-0,447972607	0,519999981	20,2631588	17,1860466	38	2006	0
107	7	-0,260644644	-0,43612381	-0,085165499	23,67000008	20,2142849	11,76923084	42	2007	0
107	7	0,287811071	0,211446835	0,364175283	2,589999914	20,19047546	11,08333302	21	2006	0
107	7	-0,564015865	-0,236933005	-0,891098737	1,789999962	20,10256386	11,46808529	39,00000018	2005	0
107	7	-0,44608438	-0,451096542	-0,4410722	1,070000052	20,08021355	11,48837185	37,40000007	2006	0
107	7	-0,782146752	-0,756299636	-0,807993837	0,670000017	20,05405426	16,75	37	2005	0
107	7	-0,320284605	-0,523687554	-0,116881655	26,02000046	20	10,909091	44	2006	0
107	7	-1,075607419	-0,906695378	-1,244519578	2,210000038	19,94915199	11,234375	59	2005	0
107	7	0,488916755	0,789768597	0,188064899	0,360000014	19,9285717	13,83870983	28	2007	0
107	7	-0,497650057	-0,188806367	-0,806493748	0,409999996	19,87755013	13,67307663	49	2005	0
107	7	-0,205827013	-0,573017357	0,161363324	15,35000038	19,54999924	15,56521702	20	2008	0
107	7	0,337672025	0,800797618	-0,125453589	0,670000017	19,52173996	13,36734676	46	2006	0
107	7	0,473236561	0,650401876	0,296071267	3,420000076	19,47967529	15,29850769	61,5	2009	0
107	7	0,321814984	0,057441595	0,586188375	0,159999996	19,46875	11,70588207	32	2009	0
107	7	-0,005005878	0,289452094	-0,29946385	1,120000005	19,45652199	13,18000031	46	2007	0
107	7	-0,226586178	0,042803076	-0,495975438	2,480000019	19,45378113	11,75925922	47,60000002	2005	0
107	7	0,047400493	0,214254223	-0,119453235	1,309999943	19,44680786	13,05660343	47	2006	0
107	7	-0,884867966	-0,729228402	-1,040507548	1,690000057	19,43103409	10,85483837	58	2006	0
107	7	-0,730621397	-0,350231131	-1,111011705	3,069999933	19,4148941	11,56000042	94	2005	0
107	7	-0,513842046	-0,53170866	-0,495975438	0,560000002	19,40540504	15,64999962	37	2007	0
107	7	-0,011201985	-0,406980458	0,384576486	18,60000038	19,35000038	15,04347801	20	2007	0
107	7	-0,541386962	0,017737119	-1,100511086	0,560000002	19,30434799	15,31999969	46	2005	0
107	7	0,282919884	0,60728843	-0,041448635	3,380000114	19,23809433	14,38235283	63	2008	0
107	7	-0,812591791	-0,712183551	-0,913000029	16,43000031	19,19230843	11,16129017	26	2006	0
107	7	-0,275406361	-0,553766702	0,002953983	1,99000001	19,19047546	8,159999847	21	2007	0
107	7	0,018731337	0,278423073	-0,2409604	0,479999989	19,11363602	14,19565201	44	2007	0
107	7	0,802718818	0,271605132	1,333832462	3,029999971	19,10526276	8,363636017	19	2009	0
107	7	0,654868305	0,550138047	0,759598601	0,709999979	19,08108139	17,70000076	37	2009	0
107	7	0,811817706	1,281061356	0,34257401	0,349999994	19,06666756	12,57575798	30	2006	0
107	7	1,201375842	1,697156243	0,705595416	0,189999998	19,05454636	14,35483837	27,5	2008	0
107	7	0,619160235	0,778739576	0,459580909	2,430000067	19,04878044	14,159091	41	2009	0
107	7	-0,586118579	-0,626758769	-0,545478357	14,21000004	19	14,97674465	40	2009	0
107	7	-0,281442761	-0,231919813	-0,330965708	1,679999948	18,95744705	12,40384579	47	2008	0
107	7	0,613419354	0,669452003	0,557386677	4,980000019	18,8571434	11,63461494	49	2009	0
107	7	0,682548106	0,883013958	0,482082236	0,600000024	18,83018875	12,83333302	26,5	2009	0
107	7	-0,363456279	0,150085372	-0,876997906	0,649999976	18,80487823	15,20454502	41	2007	0
107	7	0,264024526	0,689504769	-0,161455712	0,49000001	18,72727203	12,25	33	2005	0
107	7	-0,324725896	0,133040522	-0,782492333	2,75	18,67105293	12,44444466	76	2006	0
107	7	-0,041913901	-0,181587372	0,097759573	3,390000105	18,60360336	11,46153831	22,2	2005	0
107	7	-0,161739156	0,504016686	-0,827494987	0,370000005	18,54545403	15,20833302	44	2006	0
107	7	-0,104419068	0,167130223	-0,375968361	3,369999886	18,50724602	13,38356209	69	2007	0
